"","ANALYTE_ACCESSION","GENE_SYMBOL","GENE_ALIASES","GENE_ID","GENETIC_NOMENCLATURE_ID","IMMUNOLOGY_SYMBOL","LINK","OFFICIAL_GENE_NAME","PROTEIN_ONTOLOGY_ID","PROTEIN_ONTOLOGY_NAME","PROTEIN_ONTOLOGY_SYNONYMS","PROTEIN_ONTOLOGY_SHORT_LABEL","TAXONOMY_ID","UNIPROT_ENTRY","UNIPROT_ENTRY_NAME"
"794","ANA713","IGF1","IGF-I; IGF1A; IGFI","3479","HGNC:5464","IGF1","http://www.ncbi.nlm.nih.gov/gene/3479","insulin-like growth factor 1 (somatomedin C)","HGNC:5464","IGF1 (human)","IGF1","IGF1",9606,"-","-"
"795","ANA714","LEP","LEPD; OB; OBS","3952","HGNC:6553","LEP","http://www.ncbi.nlm.nih.gov/gene/3952","leptin","HGNC:6553","LEP (human)","LEP","LEP",9606,"-","-"
"796","ANA715","PIGF","-","5281","HGNC:8962","PIGF","http://www.ncbi.nlm.nih.gov/gene/5281","phosphatidylinositol glycan anchor biosynthesis, class F","HGNC:8962","PIGF (human)","PIGF","PIGF",9606,"-","-"
"797","ANA716","TSLP","-","85480","HGNC:30743","TSLP","http://www.ncbi.nlm.nih.gov/gene/85480","thymic stromal lymphopoietin","HGNC:30743","TSLP (human)","TSLP","TSLP",9606,"-","-"
"798","ANA717","IFN1@","IFN1@; IFNA","3438","HGNC:5415","IFNA","http://www.ncbi.nlm.nih.gov/gene/3438","interferon, type 1, cluster","PR:000044694","interferon alpha (human)","fam:hIFNA","fam:hIFNA",9606,"-","-"
"799","ANA72","CXCL8","IL8;NAF;GCP1;LECT;LUCT;NAP1;GCP-1;LYNAP;MDNCF;MONAP;NAP-1;","3576","HGNC:6025","IL8","http://www.ncbi.nlm.nih.gov/gene/3576","chemokine (C-X-C motif) ligand 8","PR:P10145","interleukin-8 (human)","C-X-C motif chemokine 8 (human);IL-8 (human);MDNCF (human);MONAP (human);NAP-1 (human);T-cell chemotactic factor (human);chemokine (C-X-C motif) ligand 8 (human);emoctakin (human);granulocyte chemotactic protein 1 (human);hCXCL8;monocyte-derived neutrophil chemotactic factor (human);monocyte-derived neutrophil-activating peptide (human);neutrophil-activating protein 1 (human);protein 3-10C (human)","hCXCL8",9606,"IL8_HUMAN","IL-8(9-77)"
"800","ANA73","CXCL9","CMK;MIG;Humig;SCYB9;crg-10;","4283","HGNC:7098","CXCL9","http://www.ncbi.nlm.nih.gov/gene/4283","chemokine (C-X-C motif) ligand 9","PR:Q07325","C-X-C motif chemokine 9 (human)","HuMIG;gamma-interferon-induced monokine (human);hCXCL9;monokine induced by interferon-gamma (human);small-inducible cytokine B9 (human)","hCXCL9",9606,"CXCL9_HUMAN","C-X-C motif chemokine 9"
"801","ANA74","CXCR1","C-C;C-C-CKR-1;CD128;CD181;CDw128a;CKR-1;CMKAR1;IL8R1;IL8RA;IL8RBA;","3577","HGNC:6026","CXCR1","http://www.ncbi.nlm.nih.gov/gene/3577","chemokine (C-X-C motif) receptor 1","PR:P25024","C-X-C chemokine receptor type 1 (human)","CD181 (human);CDw128a (human);CXC-R1 (human);CXCR-1 (human);IL-8 receptor type 1 (human);IL-8R A (human);hCXCR1;high affinity interleukin-8 receptor A (human)","hCXCR1",9606,"CXCR1_HUMAN","C-X-C chemokine receptor type 1"
"802","ANA75","CXCR2","CD182;CDw128b;CMKAR2;IL8R2;IL8RA;IL8RB;","3579","HGNC:6027","CXCR2","http://www.ncbi.nlm.nih.gov/gene/3579","chemokine (C-X-C motif) receptor 2","PR:P25025","C-X-C chemokine receptor type 2 (human)","CD182 (human);CDw128b (human);CXC-R2 (human);CXCR-2 (human);GRO/MGSA receptor (human);IL-8 receptor type 2 (human);IL-8R B (human);hCXCR2;high affinity interleukin-8 receptor B (human)","hCXCR2",9606,"CXCR2_HUMAN","C-X-C chemokine receptor type 2"
"803","ANA76","CXCR3","CD182;CD183;CKR-L2;CMKAR3;GPR9;IP10-R;Mig-R;MigR;","2833","HGNC:4540","CXCR3","http://www.ncbi.nlm.nih.gov/gene/2833","chemokine (C-X-C motif) receptor 3","PR:P49682","C-X-C chemokine receptor type 3 (human)","CD183 (human);CKR-L2 (human);CXC-R3 (human);CXCR-3 (human);G protein-coupled receptor 9 (human);IP-10 receptor (human);hCXCR3;interferon-inducible protein 10 receptor (human)","hCXCR3",9606,"CXCR3_HUMAN","C-X-C chemokine receptor type 3"
"804","ANA77","CXCR4","CD184;D2S201E;FB22;HM89;HSY3RR;LAP-3;LAP3;LCR1;LESTR;NPY3R;NPYR;NPYRL;NPYY3R;WHIM;","7852","HGNC:2561","CXCR4","http://www.ncbi.nlm.nih.gov/gene/7852","chemokine (C-X-C motif) receptor 4","PR:P61073","C-X-C chemokine receptor type 4 (human)","CD184 (human);CXC-R4 (human);CXCR-4 (human);FB22 (human);HM89 (human);LCR1 (human);LESTR (human);LPS-associated protein 3 (human);NPYRL (human);SDF-1 receptor (human);fusin (human);hCXCR4;leukocyte-derived seven transmembrane domain receptor (human);lipopolysaccharide-associated protein 3 (human);stromal cell-derived factor 1 receptor (human)","hCXCR4",9606,"CXCR4_HUMAN","C-X-C chemokine receptor type 4"
"805","ANA78","CXCR5","BLR1;CD185;MDR15;","643","HGNC:1060","CXCR5","http://www.ncbi.nlm.nih.gov/gene/643","chemokine (C-X-C motif) receptor 5","PR:P32302","C-X-C chemokine receptor type 5 (human)","CD185 (human);CXC-R5 (human);CXCR-5 (human);MDR-15 (human);burkitt lymphoma receptor 1 (human);hCXCR5;monocyte-derived receptor 15 (human)","hCXCR5",9606,"CXCR5_HUMAN","C-X-C chemokine receptor type 5"
"806","ANA79","CXCR6","BONZO;CD186;STRL33;TYMSTR;","10663","HGNC:16647","CXCR6","http://www.ncbi.nlm.nih.gov/gene/10663","chemokine (C-X-C motif) receptor 6","PR:O00574","C-X-C chemokine receptor type 6 (human)","CD186 (human);CDw186 (human);CXC-R6 (human);CXCR-6 (human);G-protein coupled receptor STRL33 (human);G-protein coupled receptor bonzo (human);hCXCR6","hCXCR6",9606,"CXCR6_HUMAN","C-X-C chemokine receptor type 6"
"807","ANA8","CCL17","TARC;ABCD-2;SCYA17;A-152E5.3;","6361","HGNC:10615","TARC","http://www.ncbi.nlm.nih.gov/gene/6361","chemokine (C-C motif) ligand 17","PR:Q92583","C-C motif chemokine 17 (human)","CC chemokine TARC (human);hCCL17;small-inducible cytokine A17 (human);thymus and activation-regulated chemokine (human)","hCCL17",9606,"CCL17_HUMAN","C-C motif chemokine 17"
"808","ANA80","EBI3","IL27B;IL-27B;","10148","HGNC:3129","EBI3","http://www.ncbi.nlm.nih.gov/gene/10148","Epstein-Barr virus induced 3","PR:Q14213","interleukin-27 subunit beta (human)","EBV-induced gene 3 protein (human);IL-27 subunit beta (human);IL-27B (human);epstein-Barr virus-induced gene 3 protein (human);hEBI3","hEBI3",9606,"IL27B_HUMAN","Interleukin-27 subunit beta"
"809","ANA800","IL12","","","HGNC:5969;HGNC:5970","IL12p70","http://purl.obolibrary.org/obo/PR_000044524","","PR:000044524","interleukin-12 complex (human)","IL-12 (human);IL12p70 (human);hIL12","hIL12",9606,"",""
"810","ANA801","IL17","","","HGNC:5981;HGNC:16404","IL17","http://purl.obolibrary.org/obo/PR_000044528","","PR:000044528","interleukin 17F/17A heterodimer (human)","hIL17F-17A","hIL17F-17A",9606,"",""
"811","ANA802","IL23","","","HGNC:15488;HGNC:5970","IL23","http://purl.obolibrary.org/obo/PR_000044525","","PR:000044525","interleukin-23 complex (human)","IL-23 (human);hIL23","hIL23",9606,"",""
"812","ANA803","PDGF","","","HGNC:8799;HGNC:8800","PDGF","http://purl.obolibrary.org/obo/PR_000044755","","PR:000044755","platelet-derived growth factor complex AB dimer (human)","PDGF AB dimer (human);hPDGF-AB","hPDGF-AB",9606,"",""
"813","ANA804","CD14","-","929","HGNC:1628","CD14","http://purl.obolibrary.org/obo/PR_P08571","CD14 molecule","PR:P08571","monocyte differentiation antigen CD14 (human)","hCD14;myeloid cell-specific leucine-rich glycoprotein (human)","hCD14",9606,"CD14_HUMAN","Monocyte differentiation antigen CD14"
"814","ANA805","CD19","B4; CVID3","930","HGNC:1633","CD19","http://purl.obolibrary.org/obo/PR_P15391","CD19 molecule","PR:P15391","B-lymphocyte antigen CD19 (human)","B-lymphocyte surface antigen B4 (human);T-cell surface antigen Leu-12 (human);differentiation antigen CD19 (human);hCD19","hCD19",9606,"CD19_HUMAN","B-lymphocyte antigen CD19"
"815","ANA806","CD20","B1; S7; Bp35; CD20; CVID5; MS4A2; LEU-16","931","HGNC:7315","CD20","http://purl.obolibrary.org/obo/PR_P11836","membrane spanning 4-domains A1","PR:P11836","B-lymphocyte antigen CD20 (human)","B-lymphocyte surface antigen B1 (human);Bp35 (human);hMS4A1;leukocyte surface antigen Leu-16 (human);membrane-spanning 4-domains subfamily A member 1 (human)","hMS4A1",9606,"CD20_HUMAN","B-lymphocyte antigen CD20"
"816","ANA807","CD24","CD24A","100133941","HGNC:1645","CD24","http://purl.obolibrary.org/obo/PR_P25063","CD24 molecule","PR:P25063","signal transducer CD24 (human)","hCD24;small cell lung carcinoma cluster 4 antigen (human)","hCD24",9606,"CD24_HUMAN","Signal transducer CD24"
"817","ANA808","CD38","ADPRC1; ADPRC 1","952","HGNC:1667","CD38","http://purl.obolibrary.org/obo/PR_P28907","CD38 molecule","PR:P28907","ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1 (human)","2'-phospho-ADP-ribosyl cyclase (human);2'-phospho-ADP-ribosyl cyclase/2'-phospho-cyclic-ADP-ribose transferase (human);2'-phospho-cyclic-ADP-ribose transferase (human);ADP-ribosyl cyclase 1 (human);ADPRC 1 (human);T10 (human);cADPr hydrolase 1 (human);cyclic ADP-ribose hydrolase 1 (human);hCD38","hCD38",9606,"CD38_HUMAN","ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1"
"818","ANA809","CD3E","T3E; TCRE; IMD18","916","HGNC:1674","CD3","http://purl.obolibrary.org/obo/PR_P07766","CD3e molecule","PR:P07766","T-cell surface glycoprotein CD3 epsilon chain (human)","CD3e (human);T-cell surface antigen T3/Leu-4 epsilon chain (human);hCD3E","hCD3E",9606,"CD3E_HUMAN","T-cell surface glycoprotein CD3 epsilon chain"
"819","ANA81","EGF","URG;HOMG4;","1950","HGNC:3229","EGF","http://www.ncbi.nlm.nih.gov/gene/1950","epidermal growth factor","PR:P01133","pro-epidermal growth factor (human)","hEGF","hEGF",9606,"EGF_HUMAN","Epidermal growth factor"
"820","ANA810","CD8A","CD8; MAL; p32; Leu2","925","HGNC:1706","CD8","http://purl.obolibrary.org/obo/PR_P01732","CD8a molecule","PR:P01732","T-cell surface glycoprotein CD8 alpha chain (human)","CD8a (human);T-lymphocyte differentiation antigen T8/Leu-2 (human);hCD8A","hCD8A",9606,"CD8A_HUMAN","T-cell surface glycoprotein CD8 alpha chain"
"821","ANA811","FCG3A","CD16; FCG3; CD16A; FCGR3; IGFR3; IMD20; FCR-10; FCRIII; FCGRIII; FCRIIIA","2214","HGNC:3619","CD16","http://purl.obolibrary.org/obo/PR_P08637","Fc fragment of IgG receptor IIIa","PR:P08637","low affinity immunoglobulin gamma Fc region receptor III-A (human)","CD16a antigen (human);Fc-gamma RIII-alpha (human);Fc-gamma RIIIa (human);FcRIIIa (human);IgG Fc receptor III-2 (human);hFCGR3A","hFCGR3A",9606,"FCG3A_HUMAN","Low affinity immunoglobulin gamma Fc region receptor III-A"
"822","ANA812","HLA-DRA","HLA-DRA1","3122","HGNC:4947","HLADR","http://purl.obolibrary.org/obo/PR_P01903","major histocompatibility complex, class II, DR alpha","PR:P01903","HLA class II histocompatibility antigen, DR alpha chain (human)","HLA-DRA chain;MHC class II antigen DRA (human);hHLA-DRA","hHLA-DRA",9606,"DRA_HUMAN","HLA class II histocompatibility antigen, DR alpha chain"
"823","ANA813","IGHD","-","3495","HGNC:5480","IgD","http://purl.obolibrary.org/obo/PR_P01880","immunoglobulin heavy constant delta","PR:P01880","immunoglobulin heavy constant delta (human)","Ig delta chain C region (human);Ig delta chain C region NIG-65 (human);Ig delta chain C region WAH (human);hIGHD","hIGHD",9606,"IGHD_HUMAN","Ig delta chain C region"
"824","ANA866","CD80","B7; BB1; B7-1; B7.1; LAB7; CD28LG; CD28LG1","941","HGNC:1700","B7","https://www.ncbi.nlm.nih.gov/gene/941","CD80 molecule","PR:P33681","T-lymphocyte activation antigen CD80 (human)","B7 (human);BB1 (human);CTLA-4 counter-receptor B7.1 (human);activation B7-1 antigen (human);hCD80","hCD80",9606,"CD80_HUMAN","T-lymphocyte activation antigen CD80"
"825","ANA874","FOXP3","JM2; AIID; IPEX; PIDX; XPID; DIETER","50943","HGNC:6106","FOXP3","https://www.ncbi.nlm.nih.gov/gene/50943","forkhead box P3","PR:Q9BZS1","forkhead box protein P3 (human)","hFOXP3;scurfin (human)","hFOXP3",9606,"FOXP3_HUMAN","Forkhead box protein P3"
"826","ANA877","ITGAE","CD103; HUMINAE","3682","HGNC:6147","CD103","https://www.ncbi.nlm.nih.gov/gene/3682","integrin subunit alpha E","PR:P38570","integrin alpha-E (human)","CD103 (human);HML-1 antigen (human);hITGAE;integrin alpha-IEL (human);mucosal lymphocyte 1 antigen (human)","hITGAE",9606,"ITAE_HUMAN","Integrin alpha-E"
"827","ANA879","KIR2DL1","NKAT; NKAT1; p58.1; CD158A; KIR221; NKAT-1; KIR-K64; KIR2DL3","3802","HGNC:6329","CD158A","https://www.ncbi.nlm.nih.gov/gene/3802","killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 1","PR:P43626","killer cell immunoglobulin-like receptor 2DL1 (human)","CD158 antigen-like family member A (human);NKAT-1 (human);hKIR2DL1;natural killer-associated transcript 1 (human);p58 NK receptor CL-42/47.11 (human);p58 natural killer cell receptor clones CL-42/47.11 (human);p58.1 MHC class-I-specific NK receptor (human)","hKIR2DL1",9606,"KI2L1_HUMAN","Killer cell immunoglobulin-like receptor 2DL1"
"828","ANA882","KIR3DL1","KIR; NKB1; NKAT3; NKB1B; NKAT-3; CD158E1; KIR3DL1/S1","3811","HGNC:6338","CD158E1","https://www.ncbi.nlm.nih.gov/gene/3811","killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 1","PR:P43629","killer cell immunoglobulin-like receptor 3DL1 (human)","CD158 antigen-like family member E (human);HLA-BW4-specific inhibitory NK cell receptor;NKAT-3 (human);hKIR3DL1;natural killer-associated transcript 3 (human);p70 NK receptor CL-2/CL-11 (human);p70 natural killer cell receptor clones CL-2/CL-11 (human)","hKIR3DL1",9606,"KI3L1_HUMAN","Killer cell immunoglobulin-like receptor 3DL1"
"829","ANA888","LILRB1","ILT2; LIR1; MIR7; PIRB; CD85J; ILT-2; LIR-1; MIR-7; PIR-B","10859","HGNC:6605","CD85J","https://www.ncbi.nlm.nih.gov/gene/10859","leukocyte immunoglobulin like receptor B1","PR:Q8NHL6","leukocyte immunoglobulin-like receptor subfamily B member 1 (human)","CD85 antigen-like family member J (human);CD85j (human);ILT-2 (human);LIR-1 (human);MIR-7 (human);hLILRB1;immunoglobulin-like transcript 2 (human);leukocyte immunoglobulin-like receptor 1 (human);monocyte/macrophage immunoglobulin-like receptor 7 (human)","hLILRB1",9606,"LIRB1_HUMAN","Leukocyte immunoglobulin-like receptor subfamily B member 1"
"830","ANA897","GZMB","C11; HLP; CCPI; CGL1; CSPB; SECT; CGL-1; CSP-B; CTLA1; CTSGL1","3002","HGNC:4709","GranB","https://www.ncbi.nlm.nih.gov/gene/3002","granzyme B","PR:P10144","granzyme B (human)","C11 (human);CTLA-1 (human);CTSGL1 (human);SECT (human);T-cell serine protease 1-3E (human);cathepsin G-like 1 (human);cytotoxic T-lymphocyte proteinase 2 (human);fragmentin-2 (human);granzyme-2 (human);hGZMB;human lymphocyte protein;lymphocyte protease (human)","hGZMB",9606,"GRAB_HUMAN","Granzyme B"
"831","ANA814","ITAX","CD11C; SLEB6","3687","HGNC:6152","CD11c","http://purl.obolibrary.org/obo/PR_P20702","integrin subunit alpha X","PR:P20702","integrin alpha-X (human)","CD11 antigen-like family member C (human);Leu M5 (human);hITGAX;leukocyte adhesion glycoprotein p150,95 alpha chain (human);leukocyte adhesion receptor p150,95 (human)","hITGAX",9606,"ITAX_HUMAN","Integrin alpha-X"
"832","ANA815","NCAM1","CD56; NCAM; MSK39","4684","HGNC:7656","CD56","http://purl.obolibrary.org/obo/PR_P13591","neural cell adhesion molecule 1","PR:P13591","neural cell adhesion molecule 1 (human)","CD56 (human);N-CAM-1 (human);NCAM-1 (human);hNCAM1","hNCAM1",9606,"NCAM1_HUMAN","Neural cell adhesion molecule 1"
"833","ANA816","PTPRC","PTPRC;LCA; LY5; B220; CD45; L-CA; T200; CD45R; GP180","5788","HGNC:9666","CD45RA","http://purl.obolibrary.org/obo/PR_P08575-8","protein tyrosine phosphatase, receptor type C","PR:P08575-8","receptor-type tyrosine-protein phosphatase C isoform h6 (human)","hPTPRC/iso:h6;receptor-type tyrosine-protein phosphatase C isoform CD45RA (human)","hPTPRC/iso:h6",9606,"PTPRC_HUMAN","Receptor-type tyrosine-protein phosphatase C"
"834","ANA82","EGFR","ERBB;ERBB1;HER1;PIG61;mENA;","1956","HGNC:3236","EGFR","http://www.ncbi.nlm.nih.gov/gene/1956","epidermal growth factor receptor","PR:P00533","epidermal growth factor receptor (human)","hEGFR;proto-oncogene c-ErbB-1 (human);receptor tyrosine-protein kinase erbB-1 (human)","hEGFR",9606,"EGFR_HUMAN","Epidermal growth factor receptor"
"835","ANA83","EPO","EP;MVCD2;","2056","HGNC:3415","EPO","http://www.ncbi.nlm.nih.gov/gene/2056","erythropoietin","PR:P01588","erythropoietin (human)","epoetin (human);hEPO","hEPO",9606,"EPO_HUMAN","Erythropoietin"
"836","ANA84","EPOR","EPO-R;","2057","HGNC:3416","EPOR","http://www.ncbi.nlm.nih.gov/gene/2057","erythropoietin receptor","PR:P19235","erythropoietin receptor (human)","EPO-R (human);hEPOR","hEPOR",9606,"EPOR_HUMAN","Erythropoietin receptor"
"837","ANA85","FAS","RP11-399O19.7;ALPS1A;APO-1;APT1;CD951;FASTM;TNFRSF6;FAS;","355","HGNC:11920","CD95","http://www.ncbi.nlm.nih.gov/gene/355","Fas cell surface death receptor","PR:P25445","tumor necrosis factor receptor superfamily member 6 (human)","CD95 (human);FASLG receptor (human);apo-1 antigen (human);apoptosis-mediating surface antigen FAS (human);hFAS","hFAS",9606,"TNR6_HUMAN","Tumor necrosis factor receptor superfamily member 6"
"838","ANA86","FASLG","APTL;FASL;CD178;CD95L;ALPS1B;CD95-L;TNFSF6;APT1LG1","356","HGNC:11936","FASLG","http://www.ncbi.nlm.nih.gov/gene/356","Fas ligand (TNF superfamily, member 6)","PR:P48023","tumor necrosis factor ligand superfamily member 6 (human)","APTL (human);CD178 (human);CD95 ligand (human);CD95-L (human);Fas antigen ligand (human);Fas ligand (human);apoptosis antigen ligand (human);fas ligand, TNF-like (human);hFASLG","hFASLG",9606,"TNFL6_HUMAN","Tumor necrosis factor ligand superfamily member 6"
"839","ANA87","FGF1","AFGF;ECGF;FGFA;ECGFA;ECGFB;FGF-1;HBGF1;HBGF-1;GLIO703;ECGF-beta;FGF-alpha;","2246","HGNC:3665","FGF1","http://www.ncbi.nlm.nih.gov/gene/2246","fibroblast growth factor 1 (acidic)","PR:P05230","fibroblast growth factor 1 (human)","ECGF (human);FGF-1 (human);HBGF-1 (human);aFGF (human);acidic fibroblast growth factor (human);endothelial cell growth factor (human);hFGF1;heparin-binding growth factor 1 (human)","hFGF1",9606,"FGF1_HUMAN","Fibroblast growth factor 1"
"840","ANA675","Tnfrsf13b","RP23-55I2.2;1200009E08Rik;Taci;","57916","MGI:1889411","Tnfrsf13b","http://www.ncbi.nlm.nih.gov/gene/57916","tumor necrosis factor receptor superfamily, member 13b","PR:Q9ET35","tumor necrosis factor receptor superfamily member 13B (mouse)","CD267 (mouse);mTNFRSF13B;transmembrane activator and CAML interactor (mouse)","mTNFRSF13B",10090,"TR13B_MOUSE","Tumor necrosis factor receptor superfamily member 13B"
"841","ANA676","Tnfrsf14","RP24-89N4.1;Atar;HveA;Hvem;Tnfrs14;","230979","MGI:2675303","Tnfrsf14","http://www.ncbi.nlm.nih.gov/gene/230979","tumor necrosis factor receptor superfamily, member 14 (herpesvirus entry mediator)","PR:Q80WM9","tumor necrosis factor receptor superfamily member 14 (mouse)","CD270 (mouse);HveA (mouse);TR2 (mouse);herpes virus entry mediator A (mouse);herpesvirus entry mediator A (mouse);mTNFRSF14;tumor necrosis factor receptor-like 2 (mouse)","mTNFRSF14",10090,"Q80WM9_MOUSE","-"
"842","ANA677","Tnfrsf17","BCM;BCMA;Tnfrsf13;Tnfrsf13a;","21935","MGI:1343050","Tnfrsf17","http://www.ncbi.nlm.nih.gov/gene/21935","tumor necrosis factor receptor superfamily, member 17","PR:O88472","tumor necrosis factor receptor superfamily member 17 (mouse)","B-cell maturation protein (mouse);CD269 (mouse);mTNFRSF17","mTNFRSF17",10090,"TNR17_MOUSE","Tumor necrosis factor receptor superfamily member 17"
"843","ANA678","Tnfrsf18","RP23-118E21.6;AITR;Gitr;","21936","MGI:894675","Tnfrsf18","http://www.ncbi.nlm.nih.gov/gene/21936","tumor necrosis factor receptor superfamily, member 18","PR:O35714","tumor necrosis factor receptor superfamily member 18 (mouse)","CD357 (mouse);glucocorticoid-induced TNFR-related protein (mouse);mTnfrsf18","mTnfrsf18",10090,"TNR18_MOUSE","Tumor necrosis factor receptor superfamily member 18"
"844","ANA679","Tnfrsf1a","CD120a;FPF;TNF-R;TNF-R-I;TNF-R1;TNF-R55;TNF-alphaR1;TNFAR;TNFR60;TNFRI;TNFRp55;TNFalpha-R1;Tnfr-2;Tnfr1;p55;p55-R;","21937","MGI:1314884","Tnfrsf1a","http://www.ncbi.nlm.nih.gov/gene/21937","tumor necrosis factor receptor superfamily, member 1a","PR:P25118","tumor necrosis factor receptor superfamily member 1A (mouse)","CD120a (mouse);TNF-R1 (mouse);TNF-RI (mouse);TNFR-I (mouse);mTNFRSF1A;tumor necrosis factor receptor 1 (mouse);tumor necrosis factor receptor type I (mouse)","mTNFRSF1A",10090,"TNR1A_MOUSE","Tumor necrosis factor receptor superfamily member 1A"
"845","ANA68","CXCL2","GRO2;GROb;MIP2;MIP2A;SCYB2;MGSA-b;MIP-2a;CINC-2a;","2920","HGNC:4603","MIP2","http://www.ncbi.nlm.nih.gov/gene/2920","chemokine (C-X-C motif) ligand 2","PR:P19875","C-X-C motif chemokine 2 (human)","Gro-beta (human);MIP2-alpha (human);growth-regulated protein beta (human);hCXCL2;macrophage inflammatory protein 2-alpha (human)","hCXCL2",9606,"CXCL2_HUMAN","GRO-beta(5-73)"
"846","ANA680","Tnfrsf1b","RP23-157J11.1;CD120b;TNF-R-II;TNF-R2;TNF-R75;TNF-alphaR2;TNFBR;TNFR80;TNFRII;TNFalpha-R2;Tnfr-1;Tnfr2;p75;","21938","MGI:1314883","Tnfrsf1b","http://www.ncbi.nlm.nih.gov/gene/21938","tumor necrosis factor receptor superfamily, member 1b","PR:P25119","tumor necrosis factor receptor superfamily member 1B (mouse)","CD120b (mouse);TNF-R2 (mouse);TNF-RII (mouse);TNFR-II (mouse);mTNFRSF1B;p80 TNF-alpha receptor (mouse);tumor necrosis factor receptor 2 (mouse);tumor necrosis factor receptor type II (mouse)","mTNFRSF1B",10090,"TNR1B_MOUSE","Tumor necrosis factor receptor superfamily member 1B"
"847","ANA681","Tnfrsf25","RP23-284C20.2;APO-3;DDR3;DR3;LARD;TR3;TRAMP;Tnfrsf12;WSL-1;WSL-LR;Wsl;","85030","MGI:1934667","Tnfrsf25","http://www.ncbi.nlm.nih.gov/gene/85030","tumor necrosis factor receptor superfamily, member 25","PR:000016485","tumor necrosis factor receptor superfamily member 25","LARD;TNFRSF25;apo-3;apoptosis-inducing receptor AIR;apoptosis-mediating receptor DR3;apoptosis-mediating receptor TRAMP;death receptor 3;lymphocyte-associated receptor of death;protein WSL;protein WSL-1","TNFRSF25",10090,"Q8VD70_MOUSE","-"
"848","ANA682","Tnfrsf4","RP23-118E21.5;ACT35;CD134;Ly-70;Ox40;TXGP1L;Txgp1;","22163","MGI:104512","Tnfrsf4","http://www.ncbi.nlm.nih.gov/gene/22163","tumor necrosis factor receptor superfamily, member 4","PR:P47741","tumor necrosis factor receptor superfamily member 4 (mouse)","CD134 (mouse);OX40 antigen (mouse);OX40L receptor (mouse);mTNFRSF4","mTNFRSF4",10090,"TNR4_MOUSE","Tumor necrosis factor receptor superfamily member 4"
"849","ANA683","Tnfrsf8","RP23-306F22.1;Cd30;D1S166E;Ki;Ki-1;","21941","MGI:99908","Tnfrsf8","http://www.ncbi.nlm.nih.gov/gene/21941","tumor necrosis factor receptor superfamily, member 8","PR:Q60846","tumor necrosis factor receptor superfamily member 8 (mouse)","CD30 (mouse);CD30L receptor (mouse);lymphocyte activation antigen CD30 (mouse);mTNFRSF8","mTNFRSF8",10090,"TNR8_MOUSE","Tumor necrosis factor receptor superfamily member 8"
"850","ANA684","Tnfrsf9","RP23-272N19.6;4-1BB;A930040I11Rik;AA408498;AI325004;CDw137;Cd137;ILA;Ly63;","21942","MGI:1101059","Tnfrsf9","http://www.ncbi.nlm.nih.gov/gene/21942","tumor necrosis factor receptor superfamily, member 9","PR:P20334","tumor necrosis factor receptor superfamily member 9 (mouse)","4-1BB ligand receptor (mouse);CD137 (mouse);T-cell antigen 4-1BB (mouse);mTNFRSF9","mTNFRSF9",10090,"TNR9_MOUSE","Tumor necrosis factor receptor superfamily member 9"
"851","ANA685","Tnfsf10","TL2;Ly81;Trail;APO-2L;AI448571;A330042I21Rik;","22035","MGI:107414","Tnfsf10","http://www.ncbi.nlm.nih.gov/gene/22035","tumor necrosis factor (ligand) superfamily, member 10","PR:P50592","tumor necrosis factor ligand superfamily member 10 (mouse)","CD253 (mouse);TNF-related apoptosis-inducing ligand (mouse);mTNFSF10;protein TRAIL (mouse)","mTNFSF10",10090,"TNF10_MOUSE","Tumor necrosis factor ligand superfamily member 10"
"852","ANA686","Tnfsf11","ODF;OPG;OPGL;RANKL;Ly109l;Trance;","21943","MGI:1100089","Tnfsf11","http://www.ncbi.nlm.nih.gov/gene/21943","tumor necrosis factor (ligand) superfamily, member 11","PR:O35235","tumor necrosis factor ligand superfamily member 11 (mouse)","CD254 (mouse);ODF (mouse);OPGL (mouse);RANKL (mouse);TNF-related activation-induced cytokine (mouse);TRANCE (mouse);mTNFSF11;osteoclast differentiation factor (mouse);osteoprotegerin ligand (mouse);receptor activator of nuclear factor kappa-B ligand (mouse)","mTNFSF11",10090,"TNF11_MOUSE","Tumor necrosis factor ligand superfamily member 11, soluble form"
"853","ANA687","Tnfsf12","Dr3l;Apo3l;Dr3lg;Tweak;","21944","MGI:1196259","Tnfsf12","http://www.ncbi.nlm.nih.gov/gene/21944","tumor necrosis factor (ligand) superfamily, member 12","PR:O54907","tumor necrosis factor ligand superfamily member 12 (mouse)","TNF-related weak inducer of apoptosis (mouse);TWEAK (mouse);mTNFSF12","mTNFSF12",10090,"TNF12_MOUSE","Tumor necrosis factor ligand superfamily member 12, secreted form"
"854","ANA688","Tnfsf13","April;Tall2;Trdl1;2310026N09Rik;","69583","MGI:1916833","Tnfsf13","http://www.ncbi.nlm.nih.gov/gene/69583","tumor necrosis factor (ligand) superfamily, member 13","PR:Q9D777","tumor necrosis factor ligand superfamily member 13 (mouse)","A proliferation-inducing ligand (mouse);APRIL (mouse);CD256 (mouse);mTNFSF13","mTNFSF13",10090,"TNF13_MOUSE","Tumor necrosis factor ligand superfamily member 13"
